Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cambodia,KHM,55.4468679729119
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cameroon,CMR,19.8500907473186
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Canada,CAN,32.3526958202565
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cayman Islands,CYM,69.4710255697764
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Central African Republic,CAF,15.7553800018083
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chad,TCD,24.968456965958
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Channel Islands,CHI,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chile,CHL,27.8746677570512
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,18.055706959796
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Colombia,COL,15.8680386541241
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Comoros,COM,12.7734606325226
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Dem. Rep.",COD,25.8676651009614
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Rep.",COG,56.1988143702835
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Costa Rica,CRI,34.3253215592844
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cote d'Ivoire,CIV,22.6604887650452
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Croatia,HRV,50.4892350523665
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cuba,CUB,12.2133743797594
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Curacao,CUW,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cyprus,CYP,75.7588676037208
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Czechia,CZE,72.1248511386482
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Denmark,DNK,58.9506079167167
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Djibouti,DJI,166.717864481384
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominica,DMA,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominican Republic,DOM,23.325332586795
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ecuador,ECU,24.0486345985713
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Egypt, Arab Rep.",EGY,16.6440314510365
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,El Salvador,SLV,29.9559096080003
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Equatorial Guinea,GNQ,51.1307495482003
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eritrea,ERI,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Estonia,EST,72.0191543549198
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ethiopia,ETH,7.93996502459584
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Faroe Islands,FRO,55.7701753016943
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Fiji,FJI,48.4609021522354
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Finland,FIN,40.6183181143561
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,France,FRA,32.8895593910847
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,French Polynesia,PYF,20.5923590296429
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gabon,GAB,51.4310732271996
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Gambia, The",GMB,20.1658912380486
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Georgia,GEO,54.3043084100873
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Germany,DEU,42.3863044855837
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ghana,GHA,37.4495998625311
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gibraltar,GIB,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greece,GRC,39.5602917930958
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greenland,GRL,41.0427004962382
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Grenada,GRD,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guam,GUM,22.2501966955153
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guatemala,GTM,17.6119761529528
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea,GIN,35.0420493356329
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea-Bissau,GNB,18.3667190776921
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guyana,GUY,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Haiti,HTI,10.5576734334849
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Honduras,HND,40.2189637388964
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Hong Kong SAR, China",HKG,177.651315174364
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Hungary,HUN,81.065700696964
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iceland,ISL,43.7132484395931
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,18.664264897257
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Indonesia,IDN,18.5915277970883
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Iran, Islamic Rep.",IRN,23.4838672675323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iraq,IRQ,38.0518681988838
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ireland,IRL,127.271542898368
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Isle of Man,IMN,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Israel,ISR,28.9810422486608
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Italy,ITA,30.9498739181942
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jamaica,JAM,38.0360807474106
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Japan,JPN,17.4635264275221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jordan,JOR,36.3349404358171
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kazakhstan,KAZ,36.4389870990994
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kenya,KEN,11.4279956869332
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kiribati,KIR,14.9796668239413
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Dem. People's Rep.",PRK,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Rep.",KOR,39.2758610673609
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kosovo,XKX,29.3126074591152
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kuwait,KWT,52.05825607288
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kyrgyz Republic,KGZ,33.4764696600324
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lao PDR,LAO,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latvia,LVA,62.5368430163073
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lebanon,LBN,20.6977589567577
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lesotho,LSO,46.2093281781161
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liberia,LBR,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Libya,LBY,42.35532240076
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liechtenstein,LIE,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lithuania,LTU,76.8187229886379
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Luxembourg,LUX,206.580145839872
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Macao SAR, China",MAC,82.706393125478
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,North Macedonia,MKD,62.4080567878813
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Madagascar,MDG,28.4244012431975
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malawi,MWI,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malaysia,MYS,65.2777668428576
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Maldives,MDV,65.5134179400092
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mali,MLI,21.7272254994959
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malta,MLT,124.520039892667
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Marshall Islands,MHL,37.0618720480893
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritania,MRT,42.3975240406607
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritius,MUS,44.0209877603943
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mexico,MEX,38.5296507920009
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Micronesia, Fed. Sts.",FSM,26.7941370558376
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Moldova,MDA,31.1910849579769
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Monaco,MCO,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mongolia,MNG,59.2172331806539
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Montenegro,MNE,43.8466387797969
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Morocco,MAR,34.093057468891
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mozambique,MOZ,37.1420563608323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Myanmar,MMR,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Namibia,NAM,36.4008818615818
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nauru,NRU,60.5348040613131
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nepal,NPL,7.7799364745157
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Netherlands,NLD,85.3209394926528
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,New Caledonia,NCL,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,New Zealand,NZL,27.3298341875002
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nicaragua,NIC,44.8044297851925
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Niger,NER,10.7593769160532
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nigeria,NGA,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Northern Mariana Islands,MNP,42.4936386768448
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Norway,NOR,36.640925320627
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Oman,OMN,49.4929030047786
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Pakistan,PAK,9.3908635386027
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Palau,PLW,37.9030976627784
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Panama,PAN,40.2141745207689
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Papua New Guinea,PNG,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Paraguay,PRY,36.0872909434467
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Peru,PER,24.0390874349068
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Philippines,PHL,28.3829200126393
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Poland,POL,52.6128934811742
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Portugal,PRT,43.6531259432991
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Puerto Rico (US),PRI,60.5788840862048
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Qatar,QAT,52.1888599262863
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Romania,ROU,40.079314554834
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,28.4334306799759
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Rwanda,RWA,21.8254435390056
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Samoa,WSM,35.033330142378
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,San Marino,SMR,163.997239164221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sao Tome and Principe,STP,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Saudi Arabia,SAU,32.159204977113
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Senegal,SEN,24.9831341973865
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Serbia,SRB,48.9609956559925
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Seychelles,SYC,82.3562686214226
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sierra Leone,SLE,9.69026986030876
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Singapore,SGP,176.891299992751
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sint Maarten (Dutch part),SXM,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Slovak Republic,SVK,91.8440865121276
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Slovenia,SVN,84.3570583498527
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Solomon Islands,SLB,36.4969019192988
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Somalia, Fed. Rep.",SOM,13.0675548124059
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,27.2021294051151
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Sudan,SSD,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Spain,ESP,34.6755629292261
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sri Lanka,LKA,21.8235309247363
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Kitts and Nevis,KNA,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Lucia,LCA,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Martin (French part),MAF,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Vincent and the Grenadines,VCT,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sudan,SDN,8.45298341762853
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Suriname,SUR,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eswatini,SWZ,44.761705694096
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sweden,SWE,48.2412138172619
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Switzerland,CHE,66.9653936798419
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Syrian Arab Republic,SYR,13.0100664640827
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tajikistan,TJK,14.9799392742745
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tanzania,TZA,16.0367461484986
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Thailand,THA,59.5188906218859
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Timor-Leste,TLS,21.2143178464812
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Togo,TGO,23.8124527104537
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tonga,TON,22.7656694071931
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Trinidad and Tobago,TTO,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tunisia,TUN,45.9504933345152
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turkiye,TUR,33.0742160572998
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turkmenistan,TKM,24.7336007327164
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turks and Caicos Islands,TCA,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tuvalu,TUV,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uganda,UGA,17.1090580167383
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ukraine,UKR,41.2316912560049
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United Arab Emirates,ARE,96.8595999294072
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United Kingdom,GBR,31.63478028095
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United States,USA,11.7891974097286
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uruguay,URY,27.9053695836796
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uzbekistan,UZB,25.3501332976894
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Vanuatu,VUT,50.3452768729642
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Venezuela, RB",VEN,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Viet Nam,VNM,85.1575874073411
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Virgin Islands (U.S.),VIR,54.9623877699587
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,West Bank and Gaza,PSE,15.5210552426533
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Yemen, Rep.",YEM,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Zambia,ZMB,34.6361926031881
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Zimbabwe,ZWE,27.5541700868299
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/07/2025,,,,
